"MacroTrends Data Download"
"Gold Prices: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
2023-01-02,1824.1633
2023-01-03,1839.6677
2023-01-04,1855.0746
2023-01-05,1859.7600
2023-01-06,1865.8880
2023-01-09,1872.1846
2023-01-10,1876.9378
2023-01-11,1876.2679
2023-01-12,1896.8403
2023-01-13,1920.4831
2023-01-16,1915.6618
2023-01-17,1908.5987
2023-01-18,1904.4307
2023-01-19,1932.2238
2023-01-20,1926.3840
2023-01-23,1930.5510
2023-01-24,1937.3769
2023-01-25,1945.9486
2023-01-26,1930.3010
2023-01-27,1927.5000
2023-01-30,1923.0734
2023-01-31,1928.1201
2023-02-01,1950.1689
2023-02-02,1912.6283
2023-02-03,1865.7970
2023-02-06,1867.5463
2023-02-07,1872.5796
2023-02-08,1875.6250
2023-02-09,1861.8583
2023-02-10,1865.5321
2023-02-13,1853.5286
2023-02-14,1854.1897
2023-02-15,1836.1530
2023-02-16,1836.0000
2023-02-17,1842.4007
2023-02-20,1841.0000
2023-02-21,1834.7405
2023-02-22,1825.0473
2023-02-23,1821.9223
2023-02-24,1811.2736
2023-02-27,1817.3015
2023-02-28,1826.7404
2023-03-01,1836.7495
2023-03-02,1835.8915
2023-03-03,1855.3340
2023-03-06,1846.6929
2023-03-07,1813.3341
2023-03-08,1813.8308
2023-03-09,1830.9041
2023-03-10,1868.1000
2023-03-13,1912.1176
2023-03-14,1903.6483
2023-03-15,1921.6000
2023-03-16,1919.3968
2023-03-17,1988.1368
2023-03-20,1976.6158
2023-03-21,1943.1898
2023-03-22,1969.7389
2023-03-23,1992.0096
2023-03-24,1978.2000
2023-03-27,1956.5783
2023-03-28,1971.9989
2023-03-29,1962.9123
2023-03-30,1978.4419
2023-03-31,1969.5459
2023-04-03,1985.1859
2023-04-04,2020.8000
2023-04-05,2020.2020
2023-04-06,2007.8189
2023-04-07,2007.7987
2023-04-10,1992.2422
2023-04-11,2004.8729
2023-04-12,2017.6000
2023-04-13,2039.6545
2023-04-14,2004.1205
2023-04-17,1994.2081
2023-04-18,2005.0000
2023-04-19,1993.9113
2023-04-20,2005.0565
2023-04-21,1984.0135
2023-04-24,1995.2252
2023-04-25,1997.7000
2023-04-26,1991.8474
2023-04-27,1987.0351
2023-04-28,1990.6000
2023-05-01,1981.3728
2023-05-02,2015.9909
2023-05-03,2053.1347
2023-05-04,2049.5288
2023-05-05,2017.6000
2023-05-08,2021.3453
2023-05-09,2036.5355
2023-05-10,2031.1000
2023-05-11,2016.1165
2023-05-12,2010.5000
2023-05-15,2014.5664
2023-05-16,1989.6507
2023-05-17,1981.9000
2023-05-18,1958.2941
2023-05-19,1977.7358
2023-05-22,1969.9834
2023-05-23,1975.4855
2023-05-24,1959.9703
2023-05-25,1940.1062
2023-05-26,1946.2000
2023-05-29,1941.6631
2023-05-30,1959.3698
2023-05-31,1965.2000
2023-06-01,1977.0397
2023-06-02,1947.5000
2023-06-05,1961.8269
2023-06-06,1963.3357
2023-06-07,1943.6000
2023-06-08,1964.8183
2023-06-09,1960.7466
2023-06-12,1959.6000
2023-06-13,1943.4588
2023-06-14,1943.7000
2023-06-15,1958.3113
2023-06-16,1958.2000
2023-06-19,1950.5949
2023-06-20,1936.9000
2023-06-21,1934.2416
2023-06-22,1914.5721
2023-06-23,1920.2000
2023-06-26,1921.7000
2023-06-27,1913.7017
2023-06-28,1907.4425
2023-06-29,1908.2185
2023-06-30,1919.5693
2023-07-03,1921.6309
2023-07-04,1926.3286
2023-07-05,1915.1017
2023-07-06,1911.8249
2023-07-07,1924.4000
2023-07-10,1924.7537
2023-07-11,1932.2929
2023-07-12,1957.2314
2023-07-13,1960.5595
2023-07-14,1954.3000
2023-07-17,1954.4000
2023-07-18,1977.7000
2023-07-19,1976.0923
2023-07-20,1968.7520
2023-07-21,1960.8422
2023-07-24,1953.2125
2023-07-25,1964.6734
2023-07-26,1972.3652
2023-07-27,1947.4727
2023-07-28,1959.3565
2023-07-31,1964.3387
2023-08-01,1951.6000
2023-08-02,1935.1000
2023-08-03,1934.8000
2023-08-04,1942.6774
2023-08-07,1936.4764
2023-08-08,1924.6000
2023-08-09,1914.7000
2023-08-10,1912.0496
2023-08-11,1913.1000
2023-08-14,1907.1000
